./20170602062033749c.png:  PNG image data, 42 x 58, 8-bit grayscale, non-interlaced
./20170602062035204.png:   PNG image data, 49 x 44, 8-bit grayscale, non-interlaced
./20170602062035204b.png:  PNG image data, 29 x 28, 8-bit grayscale, non-interlaced
./20170602062035204c.png:  PNG image data, 17 x 17, 8-bit grayscale, non-interlaced
./20170602062036766.png:   PNG image data, 36 x 34, 8-bit grayscale, non-interlaced
./20170602062038200.png:   PNG image data, 48 x 43, 8-bit grayscale, non-interlaced
./20170602062041095.png:   PNG image data, 48 x 47, 8-bit grayscale, non-interlaced
./20170602062041095bb.png: PNG image data, 38 x 35, 8-bit grayscale, non-interlaced
./20170602062052754b.png:  PNG image data, 111 x 45, 8-bit grayscale, non-interlaced
./20170602062100129.png:   PNG image data, 34 x 33, 8-bit grayscale, non-interlaced
./20170602062100129c.png:  PNG image data, 52 x 50, 8-bit grayscale, non-interlaced
./20170602062106874.png:   PNG image data, 56 x 52, 8-bit grayscale, non-interlaced
./20170602062110468.png:   PNG image data, 29 x 29, 8-bit grayscale, non-interlaced
./20170602062111972.png:   PNG image data, 13 x 13, 8-bit grayscale, non-interlaced
./20170602062116427.png:   PNG image data, 38 x 39, 8-bit grayscale, non-interlaced
./20170602062119394.png:   PNG image data, 42 x 40, 8-bit grayscale, non-interlaced
./20170602062122329.png:   PNG image data, 31 x 30, 8-bit grayscale, non-interlaced
./20170602062137503.png:   PNG image data, 22 x 22, 8-bit grayscale, non-interlaced
./20170602062143371a.png:  PNG image data, 27 x 26, 8-bit grayscale, non-interlaced
./20170602062143371b.png:  PNG image data, 17 x 18, 8-bit grayscale, non-interlaced
./20170602062144781.png:   PNG image data, 47 x 46, 8-bit grayscale, non-interlaced
./20170602062201976.png:   PNG image data, 48 x 60, 8-bit grayscale, non-interlaced
./20170602062209288a.png:  PNG image data, 37 x 35, 8-bit grayscale, non-interlaced
./20170602062209288b.png:  PNG image data, 16 x 16, 8-bit grayscale, non-interlaced
./20170602062237045.png:   PNG image data, 34 x 31, 8-bit grayscale, non-interlaced
./20170602062241343.png:   PNG image data, 27 x 34, 8-bit grayscale, non-interlaced
./20170602062301635.png:   PNG image data, 37 x 40, 8-bit grayscale, non-interlaced
./20170602062317159.png:   PNG image data, 26 x 29, 8-bit grayscale, non-interlaced
./20170602062339282.png:   PNG image data, 26 x 23, 8-bit grayscale, non-interlaced
./20170602062356490.png:   PNG image data, 34 x 32, 8-bit grayscale, non-interlaced
./20170602062436613.png:   PNG image data, 37 x 36, 8-bit grayscale, non-interlaced
./20170602062442653.png:   PNG image data, 71 x 75, 8-bit grayscale, non-interlaced
./20170602062448618.png:   PNG image data, 35 x 34, 8-bit grayscale, non-interlaced
./20170602062454587.png:   PNG image data, 46 x 43, 8-bit grayscale, non-interlaced
./20170602062520889.png:   PNG image data, 86 x 66, 8-bit grayscale, non-interlaced
./20170602062528136.png:   PNG image data, 56 x 47, 8-bit grayscale, non-interlaced
