./20170609090407567.png:      PNG image data, 61 x 47, 8-bit grayscale, non-interlaced
./20170609090411762.png:      PNG image data, 36 x 35, 8-bit grayscale, non-interlaced
./20170609090417614.png:      PNG image data, 37 x 40, 8-bit grayscale, non-interlaced
./20170609090417614b.png:     PNG image data, 72 x 70, 8-bit grayscale, non-interlaced
./20170609090432984.png:      PNG image data, 43 x 38, 8-bit grayscale, non-interlaced
./20170609090434406.png:      PNG image data, 52 x 51, 8-bit grayscale, non-interlaced
./20170609090456547.png:      PNG image data, 155 x 110, 8-bit grayscale, non-interlaced
./20170609090459513.png:      PNG image data, 74 x 53, 8-bit grayscale, non-interlaced
./20170609090459513b.png:     PNG image data, 14 x 16, 8-bit grayscale, non-interlaced
./20170609090500921.png:      PNG image data, 17 x 18, 8-bit grayscale, non-interlaced
./20170609090511279.png:      PNG image data, 95 x 94, 8-bit grayscale, non-interlaced
./20170609090517290.png:      PNG image data, 25 x 27, 8-bit grayscale, non-interlaced
./20170609090533460b.png:     PNG image data, 59 x 57, 8-bit grayscale, non-interlaced
./20170609090550930.png:      PNG image data, 24 x 23, 8-bit grayscale, non-interlaced
./20170609090553842.png:      PNG image data, 24 x 23, 8-bit grayscale, non-interlaced
./20170609090556513.png:      PNG image data, 35 x 33, 8-bit grayscale, non-interlaced
./20170609090613713.png:      PNG image data, 22 x 21, 8-bit grayscale, non-interlaced
./20170609090632520.png:      PNG image data, 37 x 32, 8-bit grayscale, non-interlaced
./20170609090913374.png:      PNG image data, 25 x 25, 8-bit grayscale, non-interlaced
./20170609091012009.png:      PNG image data, 46 x 47, 8-bit grayscale, non-interlaced
./20170609091029156.png:      PNG image data, 103 x 101, 8-bit grayscale, non-interlaced
./20170609091031956.png:      PNG image data, 44 x 40, 8-bit grayscale, non-interlaced
./20170609091041891.png:      PNG image data, 39 x 36, 8-bit grayscale, non-interlaced
./20170609091145481.png:      PNG image data, 46 x 57, 8-bit grayscale, non-interlaced
./20170609091207961.png:      PNG image data, 34 x 34, 8-bit grayscale, non-interlaced
./20170609091300663.png:      PNG image data, 33 x 31, 8-bit grayscale, non-interlaced
./20170609091317094.png:      PNG image data, 82 x 80, 8-bit grayscale, non-interlaced
./20170609091327775.png:      PNG image data, 44 x 43, 8-bit grayscale, non-interlaced
./20170609091341383.png:      PNG image data, 37 x 38, 8-bit grayscale, non-interlaced
./20170609091748523.png:      PNG image data, 28 x 30, 8-bit grayscale, non-interlaced
./20170609091845899.png:      PNG image data, 48 x 57, 8-bit grayscale, non-interlaced
./20170609092337298.png:      PNG image data, 35 x 49, 8-bit grayscale, non-interlaced
./20170609092416478.png:      PNG image data, 25 x 23, 8-bit grayscale, non-interlaced
./20170609093210748.png:      PNG image data, 24 x 22, 8-bit grayscale, non-interlaced
./20170609093641549.png:      PNG image data, 29 x 28, 8-bit grayscale, non-interlaced
./20170609093900975.png:      PNG image data, 42 x 36, 8-bit grayscale, non-interlaced
./20170609093911049.png:      PNG image data, 19 x 19, 8-bit grayscale, non-interlaced
./20170609094054685.png:      PNG image data, 67 x 66, 8-bit grayscale, non-interlaced
./20170609094904549.png:      PNG image data, 20 x 20, 8-bit grayscale, non-interlaced
./20170609095112267.png:      PNG image data, 19 x 18, 8-bit grayscale, non-interlaced
